question,answer
uais os sintomas da Dengue?,"A infecção por dengue pode ser assintomática ou apresentar quadro febril clássico. Os sintomas iniciais incluem febre alta súbita (39°C a 40°C), acompanhada de cefaleia intensa, dor retro-orbital (atrás dos olhos), dores musculares e nas articulações. Podem surgir exantemas (manchas vermelhas). É crucial monitorar sinais de alarme como dor abdominal intensa e contínua, vômitos persistentes e sangramentos de mucosas, que indicam extravasamento de plasma e gravidade."
Quais são os tratamentos para Enxaqueca?,"O manejo da enxaqueca envolve medidas comportamentais e farmacológicas. Recomenda-se repouso em ambiente escuro e silencioso durante as crises. O tratamento abortivo de crises leves a moderadas é feito com analgésicos simples ou anti-inflamatórios não esteroides (AINEs). Para crises moderadas a graves, ou falha dos anteriores, utilizam-se triptanos específicos. O uso excessivo de medicação sintomática deve ser evitado para prevenir a cefaleia por uso excessivo de medicamentos."
Quais os sintomas do AVC?,"O reconhecimento rápido dos sinais de AVC é vital e pode ser feito pela escala pré-hospitalar (Cinccinati/SAMU). Os déficits neurológicos súbitos mais comuns incluem: assimetria facial (boca torta ao sorrir), fraqueza muscular em um dos braços (queda ao tentar elevá-los) e alterações na fala (dificuldade para articular palavras ou frases confusas). Diante desses sinais, o atendimento médico de emergência deve ser acionado imediatamente para avaliação de trombólise."
Como tratar crise de Ansiedade?,"O atendimento inicial à crise de ansiedade visa o acolhimento e a redução dos sintomas autonômicos. Técnicas de controle respiratório, como a respiração diafragmática pausada, são eficazes para reduzir a hiperventilação. O paciente deve ser afastado de estímulos estressores. É fundamental realizar o diagnóstico diferencial com emergências cardiovasculares, especialmente se houver dor torácica, antes de atribuir o quadro exclusivamente à etiologia psiquiátrica."
Como tratar queimadura?,"O tratamento imediato das queimaduras térmicas consiste no resfriamento da lesão com água corrente em temperatura ambiente por 10 a 20 minutos para interromper a progressão do dano tecidual. Não se deve aplicar gelo diretamente, nem substâncias caseiras como manteiga ou pasta de dente, pois aumentam o risco de infecção. A lesão deve ser coberta com curativo estéril não aderente ou pano limpo úmido até a avaliação médica especializada."
Qual o tratamento para queda de cabelo?,"A alopecia (queda de cabelo) possui diversas etiologias, incluindo causas hormonais, nutricionais, autoimunes ou eflúvio telógeno pós-estresse. O tratamento depende do diagnóstico específico e não constitui uma emergência médica. A conduta adequada é o encaminhamento ambulatorial para dermatologia ou tricologia para investigação clínica e tricoscopia. Não há indicação de tratamento medicamentoso em regime de pronto atendimento."
Quem corre risco de coriomeningite linfocítica (LCM)? ?,"As infecções por LCMV podem ocorrer após exposição a urina fresca, fezes, saliva ou materiais de nidificação de roedores infectados.  A transmissão também pode ocorrer quando esses materiais são introduzidos diretamente na pele ferida, no nariz, nos olhos ou na boca, ou presumivelmente, através da mordida de um roedor infectado. A transmissão de pessoa para pessoa não foi relatada, com exceção da transmissão vertical da mãe infectada para o feto e, raramente, através de transplante de órgãos."
Quais são os sintomas da Coriomeningite Linfocítica (LCM)?,"O LCMV é mais comumente reconhecido como causador de doença neurológica, como o próprio nome indica, embora infecções sem sintomas ou doenças febris leves sejam manifestações clínicas mais comuns.      
Para pessoas infectadas que ficam doentes, o início dos sintomas geralmente ocorre 8 a 13 dias após a exposição ao vírus, como parte de uma doença febril bifásica. Esta fase inicial, que pode durar até uma semana, normalmente começa com algum ou todos os seguintes sintomas: febre, mal-estar, falta de apetite, dores musculares, dor de cabeça, náuseas e vómitos. Outros sintomas que aparecem com menos frequência incluem dor de garganta, tosse, dor nas articulações, dor no peito, dor testicular e dor na parótida (glândula salivar). 
                
Após alguns dias de recuperação, pode ocorrer uma segunda fase da doença. Os sintomas podem consistir em meningite (febre, dor de cabeça, torcicolo, etc.), encefalite (sonolência, confusão, distúrbios sensoriais e/ou anormalidades motoras, como paralisia) ou meningoencefalite (inflamação do cérebro e das meninges). Sabe-se também que o LCMV causa hidrocefalia aguda (aumento de líquido no cérebro), que muitas vezes requer desvio cirúrgico para aliviar o aumento da pressão intracraniana. Em casos raros, a infecção resulta em mielite (inflamação da medula espinhal) e apresenta sintomas como fraqueza muscular, paralisia ou alterações na sensação corporal. Foi sugerida uma associação entre infecção por LCMV e miocardite (inflamação dos músculos do coração). 
                
Observações anteriores mostram que a maioria dos pacientes que desenvolvem meningite ou encefalite asséptica devido ao LCMV sobrevive. Nenhuma infecção crônica foi descrita em humanos e, após a fase aguda da doença, o vírus é eliminado do corpo. No entanto, como em todas as infecções do sistema nervoso central, particularmente na encefalite, são possíveis danos neurológicos temporários ou permanentes. Surdez nervosa e artrite foram relatadas. 
                
Mulheres infectadas com LCMV durante a gravidez podem transmitir a infecção ao feto. As infecções que ocorrem durante o primeiro trimestre podem resultar em morte fetal e interrupção da gravidez, enquanto no segundo e terceiro trimestres podem ocorrer defeitos congênitos. Os bebês infectados no útero podem ter muitos defeitos congênitos graves e permanentes, incluindo problemas de visão, retardo mental e hidrocefalia (água no cérebro). As mulheres grávidas podem se lembrar de uma doença semelhante à gripe durante a gravidez ou podem não se lembrar de nenhuma doença. 
                
LCM geralmente não é fatal. Em geral, a mortalidade é inferior a 1%."
Quem corre risco de coriomeningite linfocítica (LCM)? ?,"Indivíduos de todas as idades que entram em contato com urina, fezes, saliva ou sangue de ratos selvagens correm risco potencial de infecção. Os proprietários de ratos ou hamsters de estimação podem estar em risco de infecção se estes animais forem originários de colónias contaminadas com LCMV, ou se os seus animais forem infectados por outros ratos selvagens. Os fetos humanos correm o risco de adquirir a infecção verticalmente de uma mãe infectada. 
                
Os trabalhadores de laboratório que trabalham com o vírus ou manuseiam animais infectados também correm risco. No entanto, este risco pode ser minimizado utilizando animais de fontes que testam regularmente o vírus, usando equipamento de laboratório de proteção adequado e seguindo as precauções de segurança adequadas."
Como diagnosticar a coriomeningite linfocítica (LCM)?,"Durante a primeira fase da doença, as anomalias laboratoriais mais comuns são uma contagem baixa de glóbulos brancos (leucopenia) e uma contagem baixa de plaquetas (trombocitopenia). As enzimas hepáticas no soro também podem estar levemente elevadas. Após o início da doença neurológica durante a segunda fase, geralmente é encontrado um aumento nos níveis de proteínas, um aumento no número de glóbulos brancos ou uma diminuição nos níveis de glicose no líquido cefalorraquidiano (LCR). 
   
O diagnóstico laboratorial geralmente é feito pela detecção de anticorpos IgM e IgG no LCR e no soro. O vírus pode ser detectado por PCR ou isolamento do vírus no LCR durante a fase aguda da doença."
